id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,view drift,64,16,19,21,228,ship,baseline,monotonic-signal
g002,state pressure,98,52,14,29,428,ship,edge,drag-penalty
g003,layout risk,74,72,13,100,540,ship,recovery,confidence-floor
g004,interaction cost,110,50,35,78,516,ship,negative,lane-boundary
g005,view drift,87,76,6,28,457,ship,baseline,monotonic-signal
g006,state pressure,35,22,35,94,267,ship,edge,drag-penalty
g007,layout risk,101,67,9,45,509,ship,recovery,confidence-floor
g008,interaction cost,49,22,39,25,163,ship,negative,lane-boundary
g009,view drift,115,37,35,63,475,ship,baseline,monotonic-signal
g010,state pressure,107,47,13,43,475,ship,edge,drag-penalty
g011,layout risk,107,20,4,81,515,ship,recovery,confidence-floor
g012,interaction cost,66,9,43,61,252,ship,negative,lane-boundary
g013,view drift,93,41,42,99,475,ship,baseline,monotonic-signal
g014,state pressure,66,59,44,36,300,ship,edge,drag-penalty
g015,layout risk,56,71,4,95,492,ship,recovery,confidence-floor
g016,interaction cost,99,9,28,86,431,ship,negative,lane-boundary
g017,view drift,80,16,41,86,362,ship,baseline,monotonic-signal
g018,state pressure,74,57,7,91,504,ship,edge,drag-penalty
g019,layout risk,30,45,13,98,350,ship,recovery,confidence-floor
g020,interaction cost,100,76,17,20,458,ship,negative,lane-boundary
g021,view drift,50,24,21,28,212,ship,baseline,monotonic-signal
g022,state pressure,117,71,45,99,601,ship,edge,drag-penalty
g023,layout risk,110,62,17,77,574,ship,recovery,confidence-floor
g024,interaction cost,66,60,4,27,364,ship,negative,lane-boundary
g025,view drift,47,60,41,93,365,ship,baseline,monotonic-signal
g026,state pressure,85,64,40,44,391,ship,edge,drag-penalty
g027,layout risk,64,68,20,24,336,ship,recovery,confidence-floor
g028,interaction cost,101,38,33,62,437,ship,negative,lane-boundary
g029,view drift,79,25,20,42,331,ship,baseline,monotonic-signal
g030,state pressure,71,21,36,80,343,ship,edge,drag-penalty
g031,layout risk,115,57,24,60,531,ship,recovery,confidence-floor
g032,interaction cost,105,77,20,98,625,ship,negative,lane-boundary
g033,view drift,51,55,40,35,253,ship,baseline,monotonic-signal
g034,state pressure,115,11,31,94,493,ship,edge,drag-penalty
g035,layout risk,63,27,28,85,357,ship,recovery,confidence-floor
g036,interaction cost,40,72,27,85,380,ship,negative,lane-boundary
g037,view drift,76,27,29,90,404,ship,baseline,monotonic-signal
g038,state pressure,54,42,31,97,378,ship,edge,drag-penalty
g039,layout risk,90,52,13,105,558,ship,recovery,confidence-floor
g040,interaction cost,68,25,26,27,256,ship,negative,lane-boundary
g041,view drift,60,14,34,98,336,ship,baseline,monotonic-signal
g042,state pressure,60,46,40,76,344,ship,edge,drag-penalty
g043,layout risk,107,64,44,26,413,ship,recovery,confidence-floor
g044,interaction cost,46,76,6,92,462,ship,negative,lane-boundary
g045,view drift,107,14,30,43,375,ship,baseline,monotonic-signal
g046,state pressure,97,21,44,23,291,ship,edge,drag-penalty
g047,layout risk,52,62,31,61,340,ship,recovery,confidence-floor
g048,interaction cost,33,50,26,41,229,ship,negative,lane-boundary
g049,view drift,115,11,25,79,475,ship,baseline,monotonic-signal
g050,state pressure,71,29,5,59,379,ship,edge,drag-penalty
g051,layout risk,53,76,18,97,469,ship,recovery,confidence-floor
g052,interaction cost,91,67,5,34,465,ship,negative,lane-boundary
g053,view drift,70,65,21,93,484,ship,baseline,monotonic-signal
g054,state pressure,63,65,9,84,469,ship,edge,drag-penalty
g055,layout risk,107,69,5,84,617,ship,recovery,confidence-floor
g056,interaction cost,88,73,25,89,538,ship,negative,lane-boundary
g057,view drift,38,43,16,96,360,ship,baseline,monotonic-signal
g058,state pressure,105,30,13,104,557,ship,edge,drag-penalty
g059,layout risk,54,26,12,26,242,ship,recovery,confidence-floor
g060,interaction cost,32,62,14,97,386,ship,negative,lane-boundary
g061,view drift,112,12,16,75,478,ship,baseline,monotonic-signal
g062,state pressure,68,60,40,25,294,ship,edge,drag-penalty
g063,layout risk,58,16,11,91,366,ship,recovery,confidence-floor
g064,interaction cost,92,32,19,42,386,ship,negative,lane-boundary
g065,view drift,68,77,25,22,352,ship,baseline,monotonic-signal
g066,state pressure,104,32,29,60,438,ship,edge,drag-penalty
g067,layout risk,81,47,33,40,351,ship,recovery,confidence-floor
g068,interaction cost,117,57,15,78,591,ship,negative,lane-boundary
g069,view drift,95,30,29,58,403,ship,baseline,monotonic-signal
g070,state pressure,43,19,16,96,327,ship,edge,drag-penalty
g071,layout risk,109,51,11,33,473,ship,recovery,confidence-floor
g072,interaction cost,101,69,10,92,605,ship,negative,lane-boundary
g073,view drift,101,11,32,83,427,ship,baseline,monotonic-signal
g074,state pressure,60,19,45,83,294,ship,edge,drag-penalty
g075,layout risk,87,26,32,88,425,ship,recovery,confidence-floor
g076,interaction cost,60,67,6,95,492,ship,negative,lane-boundary
g077,view drift,50,55,36,103,394,ship,baseline,monotonic-signal
g078,state pressure,93,16,32,25,297,ship,edge,drag-penalty
g079,layout risk,74,34,10,96,462,ship,recovery,confidence-floor
g080,interaction cost,68,11,43,74,288,ship,negative,lane-boundary
g081,view drift,112,72,40,24,448,ship,baseline,monotonic-signal
g082,state pressure,94,70,39,90,524,ship,edge,drag-penalty
g083,layout risk,44,70,41,41,272,ship,recovery,confidence-floor
g084,interaction cost,111,74,43,21,437,ship,negative,lane-boundary
g085,view drift,104,8,25,59,396,ship,baseline,monotonic-signal
g086,state pressure,60,48,38,39,278,ship,edge,drag-penalty
g087,layout risk,41,35,4,77,339,ship,recovery,confidence-floor
g088,interaction cost,79,31,10,57,393,ship,negative,lane-boundary
g089,view drift,58,67,14,95,470,ship,baseline,monotonic-signal
g090,state pressure,95,17,18,32,347,ship,edge,drag-penalty
g091,layout risk,73,65,42,91,447,ship,recovery,confidence-floor
g092,interaction cost,65,21,14,82,373,ship,negative,lane-boundary
g093,view drift,109,37,43,82,479,ship,baseline,monotonic-signal
g094,state pressure,99,12,38,87,419,ship,edge,drag-penalty
g095,layout risk,45,37,37,94,323,ship,recovery,confidence-floor
g096,interaction cost,109,52,17,102,601,ship,negative,lane-boundary
